Country Label,Pollutant,Last Updated,Value,Population
Austria,PM2.5,2023,56.73544976,87129202465.0
Austria,SO2,2016,93.0,80648414947.0
Austria,SO2,2017,11.40885601,81665929253.0
Austria,SO2,2020,6.0,84589162779.0
Austria,SO2,2022,15.92600774,86263961277.0
Austria,SO2,2023,5.19623088,87129202465.0
Bangladesh,PM2.5,2016,45.5,80648414947.0
Belgium,CO,2020,0.21,84589162779.0
Belgium,CO,2021,130.0,85424178274.0
Belgium,CO,2022,120.0,86263961277.0
Belgium,CO,2023,1880.0,87129202465.0
Belgium,NO2,2017,140.0,81665929253.0
Belgium,NO2,2018,71.5,82660927479.0
Belgium,NO2,2019,3.5,83636337784.0
Belgium,NO2,2020,25.5,84589162779.0
Belgium,NO2,2021,103.0,85424178274.0
Belgium,NO2,2023,19.0,87129202465.0
Belgium,O3,2017,5.5,81665929253.0
Belgium,O3,2020,19.5,84589162779.0
Belgium,O3,2021,34.5,85424178274.0
Belgium,O3,2022,71.5,86263961277.0
Belgium,O3,2023,67.0,87129202465.0
Belgium,PM10,2017,108.6,81665929253.0
Belgium,PM10,2018,38.4,82660927479.0
Belgium,PM10,2019,38.7,83636337784.0
Belgium,PM10,2020,4.0,84589162779.0
Belgium,PM10,2021,38.271,85424178274.0
Belgium,PM2.5,2017,90.5,81665929253.0
Belgium,PM2.5,2018,19.0,82660927479.0
Belgium,PM2.5,2019,25.0,83636337784.0
Belgium,PM2.5,2021,31.653,85424178274.0
Belgium,SO2,2016,1.5,80648414947.0
Belgium,SO2,2017,21.0,81665929253.0
Belgium,SO2,2018,7.0,82660927479.0
Belgium,SO2,2020,14.0,84589162779.0
Belgium,SO2,2021,3.5,85424178274.0
Belgium,SO2,2022,3.8,86263961277.0
Belgium,SO2,2023,0.0,87129202465.0
Bermuda,O3,2021,0.012,85424178274.0
Bermuda,PM2.5,2023,17.0,87129202465.0
Bosnia and Herzegovina,CO,2016,2341.0,80648414947.0
Bosnia and Herzegovina,CO,2018,3121.0,82660927479.0
Bosnia and Herzegovina,CO,2022,4106.0,86263961277.0
Bosnia and Herzegovina,NO2,2016,5.0,80648414947.0
Bosnia and Herzegovina,NO2,2017,22.0,81665929253.0
Bosnia and Herzegovina,NO2,2018,243.0,82660927479.0
Bosnia and Herzegovina,NO2,2022,84.8,86263961277.0
Bosnia and Herzegovina,O3,2016,110.0,80648414947.0
Bosnia and Herzegovina,O3,2017,19.0,81665929253.0
Bosnia and Herzegovina,O3,2018,223.0,82660927479.0
Bosnia and Herzegovina,O3,2022,152.7,86263961277.0
Bosnia and Herzegovina,PM10,2018,736.0,82660927479.0
Bosnia and Herzegovina,PM2.5,2021,87.0,85424178274.0
Bosnia and Herzegovina,PM2.5,2022,69.3,86263961277.0
Bosnia and Herzegovina,SO2,2018,305.0,82660927479.0
Bosnia and Herzegovina,SO2,2022,335.6,86263961277.0
Brazil,CO,2017,2.3,81665929253.0
Brazil,CO,2022,0.8,86263961277.0
Brazil,CO,2023,5.2,87129202465.0
Brazil,NO2,2017,420.0,81665929253.0
Brazil,NO2,2022,168.0,86263961277.0
Brazil,NO2,2023,912.0,87129202465.0
Brazil,O3,2017,224.0,81665929253.0
Brazil,O3,2022,411.0,86263961277.0
Brazil,O3,2023,3168.0,87129202465.0
Brazil,PM10,2017,260.0,81665929253.0
Brazil,PM10,2022,0.0,86263961277.0
Brazil,PM10,2023,1644.0,87129202465.0
Brazil,PM2.5,2017,28.0,81665929253.0
Brazil,PM2.5,2022,66.0,86263961277.0
Brazil,PM2.5,2023,404.0,87129202465.0
