Country Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
IDA total,1538498334.0,1570999900.0,1604188279.0,1638586691.0,1674229410.0,1711076534.0,1749141428.0,1788173626.0,1827438520.0,1866528090.0,1906383019.0
IDA blend,520502873.0,531341156.0,541987714.0,552474265.0,563290702.0,574487740.0,585824310.0,597524859.0,609556583.0,621500917.0,633230238.0
Indonesia,255852467.0,258877399.0,261799249.0,264627418.0,267346658.0,269951846.0,272489381.0,274814866.0,276758053.0,278830529.0,281190067.0
IDA only,1017995461.0,1039658744.0,1062200565.0,1086112426.0,1110938708.0,1136588794.0,1163317118.0,1190648767.0,1217881937.0,1245027173.0,1273152781.0
Isle of Man,84141.0,83892.0,83593.0,83466.0,83609.0,83805.0,83957.0,84064.0,84106.0,84132.0,84165.0
India,1295829511.0,1312277191.0,1328024498.0,1343944296.0,1359657400.0,1374659064.0,1389030312.0,1402617695.0,1414203896.0,1425423212.0,1438069596.0
Not classified,,,,,,,,,,,
Ireland,4623816.0,4657740.0,4701957.0,4755335.0,4807388.0,4867316.0,4934340.0,4985382.0,5033164.0,5165700.0,5307600.0
"Iran, Islamic Rep.",80414686.0,81502045.0,82619362.0,83812228.0,85026754.0,86117998.0,87051648.0,87723443.0,88455488.0,89524246.0,90608707.0
Iraq,35281989.0,36550059.0,37560535.0,38469627.0,39337353.0,40265624.0,41192171.0,42116605.0,43071211.0,44070551.0,45074049.0
Iceland,323764.0,327386.0,330815.0,335439.0,343400.0,352721.0,360563.0,366463.0,372520.0,382003.0,393349.0
Israel,8059500.0,8215700.0,8380100.0,8546000.0,8713300.0,8882800.0,9054000.0,9215100.0,9371400.0,9557500.0,9756600.0
Italy,60233948.0,60789140.0,60730582.0,60627498.0,60536709.0,60421760.0,59729081.0,59438851.0,59133173.0,59013667.0,58993475.0
Jamaica,2783687.0,2793749.0,2802534.0,2809915.0,2815764.0,2820097.0,2823271.0,2830739.0,2837682.0,2839144.0,2839786.0
Jordan,7991809.0,8791710.0,9544729.0,10006367.0,10234226.0,10462306.0,10671891.0,10865228.0,11066356.0,11256263.0,11439213.0
Japan,127445000.0,127276000.0,127141000.0,127076000.0,126972000.0,126811000.0,126633000.0,126261000.0,125681593.0,125124989.0,124516650.0
Kazakhstan,17556502.0,17816285.0,18084169.0,18363600.0,18651931.0,18932727.0,19209555.0,19482117.0,19743603.0,20034609.0,20330104.0
Kenya,44986791.0,46051440.0,47088526.0,48139687.0,49197766.0,50207107.0,51202827.0,52217334.0,53219166.0,54252461.0,55339003.0
Kyrgyz Republic,5777150.0,5905847.5,6040035.5,6175337.5,6306695.5,6444078.5,6590211.0,6726595.5,6851224.0,6975219.5,7099750.0
Cambodia,15170208.0,15396772.0,15623251.0,15852803.0,16073372.0,16274522.0,16481304.0,16725474.0,16974305.0,17201724.0,17423880.0
Kiribati,113838.0,115326.0,116815.0,118478.0,120275.0,122084.0,123921.0,126099.0,128377.0,130469.0,132530.0
St. Kitts and Nevis,47069.0,47089.0,47087.0,47075.0,47050.0,47008.0,46952.0,46870.0,46763.0,46709.0,46758.0
"Korea, Rep.",50428893.0,50746659.0,51014947.0,51217803.0,51361911.0,51585058.0,51764822.0,51836239.0,51769539.0,51672569.0,51712619.0
Kuwait,3507844.0,3665876.0,3834574.0,4004096.0,4154812.0,4323515.0,4442316.0,4400267.0,4360865.0,4589643.0,4853420.0
Latin America & Caribbean (excluding high income),544834859.0,550428711.0,555893183.0,561307280.0,566870356.0,572668977.0,578311232.0,583125825.0,586944219.0,590730587.0,594995068.0
Lao PDR,6611385.0,6703172.0,6801645.0,6908802.0,7018147.0,7128045.0,7237636.0,7346533.0,7453194.0,7559007.0,7664993.0
Lebanon,5743436.0,6346990.0,6472469.0,6323060.0,6160128.0,5984119.0,5794594.0,5702398.0,5718122.0,5744489.0,5773493.0
Liberia,4470239.0,4564293.0,4659431.0,4755608.0,4848925.0,4944726.0,5043721.0,5149463.0,5259323.0,5373294.0,5493031.0
Libya,6304628.0,6427252.0,6531819.0,6632126.0,6738770.0,6849055.0,6951033.0,7045399.0,7135175.0,7223805.0,7305659.0
St. Lucia,173369.0,174138.0,174905.0,175646.0,176342.0,177017.0,177661.0,178250.0,178522.0,178781.0,179285.0
Latin America & Caribbean,606644957.0,612799258.0,618806527.0,624664026.0,630329435.0,635680745.0,640853375.0,645497618.0,649234475.0,653104771.0,657611624.0
